 ,Key,English,Arabic
,noDataFound,No Data Found,لا يوجد بيانات لعرضها
,home,Home,الرئيسية
,careerPaths,Career paths,المسارات المهنية
,commonQuestions,Common questions,الأسئلة الشائعة
,connectWithUs,Connect with us,تواصل معنا
,lang,Language:,اللغة:
,login,Login,تسجيل الدخول
,getStartedFee,Get started free,أبدأ الآن مجاناً
,careerPhatsPage,Career phats page,صفحة المسارات المهنية
,commonQuestionsPage,Common questions page,صفحة الأسئلة الشائعة
,contactWithUsPage,Contact with us page,صفحة تواصل معنا
,logout,Logout,تسجيل الخروج
,abbreviations,Abbreviations,اختصارات
,callUs,Call us,اتصل بنا
,policiesAndLaws,Policies and laws,السياسات والقوانين
,termsOfUse,Terms of use,شروط الاستعمال
,privacyTerms,Privacy Terms,شروط الخصوصية
,ahtirafi,Ahtirafi,احـتـرافي
,fieldRequired,this field is required,هذا الحقل مطلوب
,theUnitedArabEmirates,The United Arab Emirates,الإمارات العربية المتحدة
,changeCountry,Change country,تغيير البلد
,login,Login,تسجيل الدخول
,email,Email,البريد الالكتروني
,password,Password,كلمة السر
,forgotYourPassword?,Forgot your password?,نسيت كلمة السر؟
,or,Or,أو
,useGoogleAccount,Use a Google account, استعمال حساب غوغل
,IDontHaveAccount,I dont have an account,ليس لدي حساب
,createAnAccount,Create an account,إنشاء حساب
,climbToTheTop,Climb to the top,أصعد إلى القمة
,enterTheProfessionalPortal,Enter the professional portal,أدخل بوابة الاحتراف الآن
,professionalProgramThatProvidesStudents,"A professional program that provides students and graduates with vocational training within any specialty to help them To advance their careers quickly, within a virtual and semi-corporate work environment fact",احترافي يقدم للطلاب والخريجين تدريبات مهنية ضمن أي اختصاص ليساعدهم على التقدم بحياتهم المهنية بسرعة، ضمن بيئة عمل شركات افتراضية وشبه حقيقة
,goThroughYearsOfTraining,Prepare for the job market and go through years of training,تحضر لسوق العمل وتجاوز سنين من التدريب
,startingFromTheStage,Starting from the stage of applying for a job and passing interviews and tests to the stage of joining the company and starting to carry out daily tasks at work,بدءاً من مرحلة التقدم للوظيفة وتجاوز المقابلات والاختبارات إلى مرحلة الانضمام للشركة والبدء بتنفيذ المهمات اليومية في العمل
,teacheYouHowToConductJobInterviews,teache you how to conduct interviews,يعلمك احترافي القيام بمقابلات العمل
,teachesYouHowToPassEmploymentTests,Teaches you how to pass your test,يعلمك كيف تتجاوز اختبارات التوظيف
,itHelpsYouUnderstandHowToPerform,how to perform the most important jobs assigned to you,يساعدك على فهم كيف تقوم بأهم الوظائف المسندة إليك
,stepToBecomeAnExpertInAnyProfession,accompanies you step by step to become an expert,احترافي يرافقك خطوة بخطوة لتصبح خبيراً في اي مهنة
,knowTheCompanyAndstartYourJob,first steps to get to know the company and start your job,يعلمك الخطوات الأولى للتعرف على الشركة والبدء بوظيفتك
,whatAreTheTrainingStepsInProfessional,What are the training steps in Professional?,ما هي خطوات التدريب في احترافي؟
,fromBeginnerToExpertInAnyProfession,From beginner to expert in any profession,من مبتدئ إلى خبير في أي مهنة
,subscriber,Subscriber,مشترك
,trainer,Trainer,مدرب
,trainingTrack,Training track,مسار تدريب
,allStagesTrackAreFree,All the first stages of any track are free,كافة المراحل الأولى في أي مسار مجانية
,loginSuccess,Login Success!,تم تسجيل الدخول بنجاح!
,logoutSuccess,Logout Success!,تم تسجيل الخروج بنجاح!
